AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,COMP_CODE,LIGHTACTV,LIGHTINTNS
AB89070F-99AF-4842-AF5C-7862E5FEA10E,30-Dec,1190,300,GRAVE,,
2F9263A9-5226-49FE-9079-A9BFD7A87D34,H1,50,50,WOOD,,
D920618F-359D-4171-BA5D-3481C137A9A4,26-Aug,4045,300,TURF+GRVL,,
96BDC02A-0EB7-408F-B1C7-575C766C7D9D,22-Apr,5000,100,GRAVE,2,LIM
4A0E6089-6383-4244-BCC8-487CE57EB1A6,NE/SW,10500,300,WATER,,
EA20DD0F-AD8F-46F4-ADF4-4F4309881D99,24,2794,80,GRAVE,2,
55783222-3062-4B7F-8BAB-AD55BFEC12D6,16/34,4500,100,CONC+ASPH,2,LIM
77EBFAE1-6D68-4FCC-8695-CA62A39F5E1A,20-Feb,2095,60,GRAVE,,
F735E4DE-D6E9-4DEA-B730-4E1AC85FD039,29-Nov,1400,300,GRAVE,,
A9314770-58F0-4289-83E6-CCE77284098E,NW/SE,5000,300,WATER,,
5E48FD9B-8553-4E02-A46D-EE3053818ACE,24-Jun,3300,75,GRAVE,2,LIM
8858696C-D395-4D4A-B14F-4BDA7FDE8577,26-Aug,3000,75,GRAVE,,
D2D1D4C1-8C36-43FD-AD07-826FEEC20E98,17/35,3873,111,GRAVE,,
220455E6-CB8D-4762-9354-3461F3A36AD0,17/35,4000,75,GRAVE,2,LIM
B1CD5ADD-3768-4D58-8357-689D5B0900FD,24-Jun,1200,300,DIRT,,
AD489E35-65A8-442B-A298-D0E531A81009,20-Feb,3010,60,ASPH,2,
AD489E35-65A8-442B-A298-D0E531A81009,29-Nov,6720,150,ASPH,2,LIM
557F4772-3E31-4B0F-B991-F6E1F3066B0C,26-Aug,4000,100,ASPH,2,LIM
2A926F4E-6990-4C03-BD5B-1D725BD0C2F4,26-Aug,1651,300,GRASS,,
D6D9D8E0-0A64-4F44-B6C4-6AE71BF7E6F9,H1,75,50,GRAVE,,
A40CEC5F-F751-4DA5-AC3A-3494821BB9A4,N/S,5000,300,WATER,,
2B72DC86-5169-4F18-8705-69343501E519,26-Aug,1400,300,GRAVE,,
2B72DC86-5169-4F18-8705-69343501E519,17/35,1200,300,GRAVE,,
5640E422-C3B0-4613-9CA2-166A38057284,N/S,10000,300,WATER,,
A8460414-3884-4284-8B5A-3B7856AF0050,15/33,2910,60,ASPH,2,LIM
7BC7843A-6233-493C-B2A5-8492B343930C,H1,20,20,WOOD,,
7BC7843A-6233-493C-B2A5-8492B343930C,H2,20,20,WOOD,,
7BC7843A-6233-493C-B2A5-8492B343930C,H3,20,20,WOOD,,
7BC7843A-6233-493C-B2A5-8492B343930C,H4,20,20,WOOD,,
A55572F4-DF4C-4954-BEAE-28EAB34A645F,25-Jul,970,300,TURF+GRVL,,
A55572F4-DF4C-4954-BEAE-28EAB34A645F,30-Dec,1090,300,TURF+GRVL,,
024ECC69-193C-4A6F-8DF1-14B313EECC1F,24-Jun,1700,300,GRAVE,,
C2F0EE26-9181-4B75-B1E8-2F8E69C177B0,E/W,10000,300,WATER,,
52CFDA9C-361B-42AB-AABB-7F28724E42CA,19-Jan,4000,100,GRAVE,2,LIM
B40147A4-FBEC-40E2-89C4-327C6BA93891,22-Apr,6701,150,ASPH,2,LIH
DA213689-ABC6-4639-824A-0C2349C1907C,NE/SW,3000,300,WATER,,
14391EC5-E7B3-4B32-A21D-67DB5E724140,19-Jan,1555,300,GRASS,,
4FEED28C-8541-46F9-BE81-AF7D849A951A,30-Dec,1100,300,GRAVE,,
14AFC7D4-F9BE-4905-AC62-8687A9A3D194,30-Dec,1200,300,GRAVE,,
9961CC56-2566-4598-9F95-E6BC634CA4C4,27-Sep,2000,300,GRAVE,,
9961CC56-2566-4598-9F95-E6BC634CA4C4,H1,100,100,GRAVE,,
E14C4C27-4FB7-48FA-B646-AE7BA5B9C401,H1,46,46,MATS,2,OTHER
725308DA-D578-421D-A21B-33B7966449A4,27-Sep,1250,300,GRAVE,,
19D1C67B-4191-4340-ACF4-7D9AA93B5408,24-Jun,2400,300,GRAVE,2,LIL
13B25929-6214-44FA-BC4F-270EDD40B11E,E/W,9000,300,WATER,,
72915335-C129-44AD-918B-6857571EACDC,24-Jun,3367,75,ASPH,2,LIM
B7D30294-B4BB-4EE4-AC5B-18FBC57D4547,13/31,3300,75,GRAVE,2,LIM
1D7CE621-875E-4BFF-AEA8-09C561B4B1B2,21-Mar,900,300,DIRT,,
3F60EA64-15AE-4BA9-BD91-201FE0E7FFBB,27-Sep,980,300,GRASS,,
70E4BAC1-AAAF-42F9-B8C9-67794ADAE5D5,E/W,1600,300,DIRT,,
98236B79-51BB-43F9-9401-8E5039EB3417,27-Sep,1000,300,GRASS,,
D6590BA2-EE61-4A21-B8D7-4230647368B0,18/36,1700,300,GRASS,,
27A51461-6913-4610-AC0D-660314BEFFD0,23-May,1285,300,GRAVE,,
F88FC95F-0553-4DD0-97D9-391AB0932122,N/S,4000,300,WATER,,
06C918DD-436B-4E69-8676-AAC5D61E6E1B,17/35,3381,100,GRAVE,2,LIM
B49876B0-3F13-4E55-AF3A-36143546DB9F,21-Mar,4000,75,GRAVE,2,LIM
A706F20B-DAD5-489E-B2B3-998DCDF85487,E/W,5000,300,WATER,,
FE7CAA0A-3213-4706-BB8E-CDA16871C085,N/S,10000,300,WATER,,
98B27D59-D7B3-4383-82CB-8C728996FFED,23-May,3430,300,GRAVE,,
BC30B85B-74AB-446D-9E26-36083DBD2944,24-Jun,3200,300,GRAVE,,
87E20984-65AB-4771-851F-39474563FA7A,23-May,3000,75,GRAVE,2,LIM
F6ECDB70-C91D-4CE3-B184-BE79950F5286,E/W,2998,400,WATER,2,
F6ECDB70-C91D-4CE3-B184-BE79950F5286,N/S,2892,400,WATER,2,
0389B8C3-02F8-4CA4-9A93-F21FA1B27B73,16/34,1800,300,GRAVE,,
A6AEA3C6-B4D0-4DEA-9BC8-D260FD93BEF1,N/S,10000,300,WATER,,
9B4EE4DC-8B92-4C6A-93A3-52285C08EDAA,30-Dec,1000,300,GRAVE,,
5693EB2E-CAD9-44FC-A3CC-BF16E93A09C0,24-Jun,4700,300,GRAVE,,
